"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2020","69.23","69.49","70.42","69.21","130.02M","-2.08%"
"Apr 17, 2020","70.70","71.17","71.74","69.22","215.25M","-1.35%"
"Apr 16, 2020","71.67","71.84","72.05","70.59","157.13M","0.79%"
"Apr 15, 2020","71.11","70.60","71.58","70.16","131.15M","-0.91%"
"Apr 14, 2020","71.76","70.00","72.06","69.51","194.99M","5.05%"
"Apr 13, 2020","68.31","67.08","68.42","66.46","131.02M","1.96%"
"Apr 09, 2020","67.00","67.17","67.52","66.17","162.12M","0.72%"
"Apr 08, 2020","66.52","65.69","66.84","65.31","168.90M","2.56%"
"Apr 07, 2020","64.86","67.70","67.92","64.75","202.89M","-1.16%"
"Apr 06, 2020","65.62","62.73","65.78","62.34","201.82M","8.73%"
"Apr 03, 2020","60.35","60.70","61.42","59.74","129.88M","-1.44%"
"Apr 02, 2020","61.23","60.09","61.29","59.23","165.93M","1.66%"
"Apr 01, 2020","60.23","61.62","62.18","59.78","176.22M","-5.25%"
"Mar 31, 2020","63.57","63.90","65.62","63.00","197.00M","-0.20%"
"Mar 30, 2020","63.70","62.69","63.88","62.35","167.98M","2.84%"
"Mar 27, 2020","61.94","63.19","63.97","61.76","204.22M","-4.13%"
"Mar 26, 2020","64.61","61.63","64.67","61.59","252.56M","5.26%"
"Mar 25, 2020","61.38","62.69","64.56","61.08","303.60M","-0.55%"
"Mar 24, 2020","61.72","59.09","61.92","58.58","287.53M","10.04%"
"Mar 23, 2020","56.09","57.02","57.12","53.15","336.75M","-2.13%"
"Mar 20, 2020","57.31","61.80","62.96","57.00","401.69M","-6.36%"
"Mar 19, 2020","61.20","61.85","63.21","60.65","271.86M","-0.76%"
"Mar 18, 2020","61.67","59.94","62.50","59.28","300.23M","-2.45%"
"Mar 17, 2020","63.22","61.88","64.40","59.60","324.06M","4.41%"
"Mar 16, 2020","60.55","60.49","64.77","60.00","322.42M","-12.87%"
"Mar 13, 2020","69.49","66.22","69.98","63.24","370.73M","11.97%"
"Mar 12, 2020","62.06","63.98","67.50","62.00","418.47M","-9.88%"
